constant,area,yearc
1,35,1939
1,104,1939
1,29,1971
1,39,1972
1,97,1985
1,62,1962
1,31,1965
1,61,1957.5
1,72,1978
1,75,1968
1,65,1956
1,91,1984
1,100,1959
1,32,1994.5
1,64,1962
1,63,1929
1,103,1955
1,73,1980
1,60,1957
1,58,1934
1,32,1972
1,81,1996
1,39,1935
1,108,1955
1,87,1979
1,60,1939
1,125,1979
1,67,1964
1,80,1972
1,74,1957
1,42,1962
1,39,1996
1,90,1983
1,80,1971
1,41,1960
1,59,1960
1,107,1918
1,63,1929
1,156,1918
1,110,1918
1,64,1918
1,75,1960
1,54,1934
1,70,1970
1,71,1970
1,33,1967
1,35,1939
1,27,1972
1,48,1972
1,54,1986
1,30,1972
1,86,1965
1,60,1957.5
1,87,1981
1,78,1991
1,78,1969
1,96,1967
1,71,1965
1,59,1986
1,82,1982
1,87,1972
1,78,1929
1,75,1967
1,70,1965
1,57,1972
1,75,1984
1,64,1957.5
1,58,1994.5
1,57,1918
1,123,1918
1,60,1956
1,91,1958
1,53,1956
1,88,1960
1,56,1929
1,84,1956
1,75,1994.5
1,77,1964
1,77,1961
1,54,1990
1,71,1965
1,85,1957.5
1,58,1994
1,84,1973
1,67,1972
1,96,1924
1,54,1979
1,42,1971
1,72,1983
1,61,1983
1,46,1965
1,36,1985
1,61,1983
1,46,1991
1,28,1965
1,105,1991
1,70,1987
1,49,1957.5
1,88,1983
1,81,1962
1,87,1972
1,55,1969
1,65,1939
1,82,1941
1,48,1929
1,39,1957.5
1,88,1957.5
1,57,1964
1,68,1918
1,59,1958
1,74,1964
1,70,1939
1,47,1964
1,50,1990
1,68,1955
1,87,1969
1,45,1973
1,51,1971
1,80,1969
1,77,1936
1,63,1951
1,70,1965
1,72,1972
1,70,1971
1,55,1971
1,82,1996
1,74,1972
1,83,1972
1,107,1972
1,55,1959
1,65,1957
1,65,1974
1,45,1991
1,78,1986
1,29,1974
1,31,1963
1,84,1962
1,82,1995
1,48,1983
1,53,1993
1,66,1971
1,62,1984
1,68,1971
1,63,1929
1,57,1995
1,100,1994
1,85,1995
1,53,1971
1,100,1972
1,90,1991
1,57,1970
1,62,1962
1,98,1918
1,54,1988
1,57,1996
1,72,1951
1,47,1957.5
1,76,1964
1,108,1956
1,85,1957.5
1,52,1957.5
1,79,1918
1,79,1957.5
1,30,1956
1,60,1990
1,50,1979
1,65,1984
1,72,1958
1,66,1957.5
1,93,1955
1,70,1964
1,66,1957.5
1,101,1959
1,140,1957.5
1,75,1968
1,79,1962
1,105,1980
1,117,1980
1,54,1995
1,82,1929
1,55,1918
1,71,1957.5
1,98,1957.5
1,72,1918
1,62,1929
1,29,1971
1,61,1969
1,94,1929
1,74,1948
1,39,1968
1,63,1968
1,46,1954
1,88,1971
1,44,1957.5
1,68,1929
1,83,1957.5
1,76,1918
1,140,1929
1,100,1935
1,30,1959
1,100,1968
1,45,1936
1,73,1955
1,51,1954
1,79,1969
1,67,1973
1,39,1949
1,56,1969
1,58,1939
1,45,1996
1,52,1918
1,41,1994
1,105,1973
1,73,1960
1,73,1960
1,110,1954
1,110,1960
1,64,1961
1,60,1963
1,30,1972
1,60,1952
1,101,1957
1,80,1929
1,110,1963
1,50,1973
1,82,1954
1,40,1970
1,75,1994.5
1,87,1966
1,55,1971
1,70,1972
1,80,1984
1,71,1957.5
1,69,1971
1,84,1968
1,76,1956
1,92,1955
1,67,1960
1,80,1958
1,50,1957
1,70,1939
1,65,1972
1,60,1972
1,67,1965
1,69,1929
1,28,1959
1,86,1970
1,63,1962
1,62,1994.5
1,88,1982
1,90,1994.5
1,65,1956
1,75,1972
1,76,1967
1,66,1937
1,49,1971
1,80,1918
1,82,1964
1,59,1940
1,62,1954
1,57,1936
1,29,1983
1,48,1967
1,50,1972
1,90,1950
1,23,1972
1,30,1973
1,76,1918
1,26,1957.5
1,50,1918
1,85,1973
1,38,1955
1,87,1936
1,85,1939
1,32,1973
1,48,1962
1,39,1958
1,80,1965
1,42,1957.5
1,82,1918
1,35,1960
1,81,1955
1,81,1918
1,53,1961
1,85,1918
1,77,1957.5
1,137,1939
1,56,1918
1,80,1918
1,44,1957.5
1,65,1956
1,110,1924
1,120,1918
1,32,1983
1,48,1983
1,74,1939
1,74,1973
1,100,1981
1,61,1918
1,92,1939
1,60,1964
1,38,1959
1,95,1957.5
1,54,1918
1,33,1957.5
1,82,1969
1,55,1984
1,40,1958
1,93,1929
1,76,1918
1,63,1950
1,85,1997
1,56,1963
1,58,1972
1,32,1972
1,30,1968
1,28,1970
1,63,1991
1,60,1918
1,84,1935
1,65,1957.5
1,105,1929
1,77,1939
1,85,1996
1,70,1929
1,47,1929
1,80,1972
1,77,1962
1,111,1954
1,58,1962
1,82,1954
1,73,1973
1,70,1973
1,98,1959
1,65,1961
1,105,1975
1,63,1982
1,76,1955
1,79,1939
1,109,1924
1,64,1918
1,78,1972
1,110,1957.5
1,61,1969
1,70,1991
1,80,1918
1,48,1972
1,83,1929
1,48,1972
1,69,1957.5
1,40,1964
1,54,1984
1,107,1969
1,126,1957
1,55,1957.5
1,128,1929
1,89,1980
1,110,1918
1,28,1969
1,35,1918
1,54,1918
1,53,1957.5
1,95,1918
1,123,1929
1,56,1939
1,92,1994.5
1,132,1995
1,58,1957.5
1,95,1976
1,100,1967
1,80,1970
1,28,1992
1,80,1973
1,65,1965
1,46,1991
1,79,1991
1,56,1988
1,75,1972
1,49,1957.5
1,75,1957.5
1,74,1929
1,31,1929
1,45,1918
1,75,1959
1,60,1957.5
1,49,1959
1,101,1918
1,80,1929
1,35,1929
1,138,1918
1,84,1918
1,30,1970
1,58,1970
1,85,1964
1,50,1957.5
1,56,1956
1,62,1962
1,52,1969
1,64,1963
1,22,1958
1,86,1962
1,52,1960
1,51,1971
1,60,1939
1,54,1959
1,47,1971
1,48,1918
1,84,1970
1,50,1957.5
1,49,1953
1,55,1957.5
1,58,1971
1,64,1972
1,70,1940
1,63,1961
1,85,1970
1,45,1972
1,50,1965
1,60,1992
1,64,1929
1,74,1957.5
1,30,1956
1,76,1971
1,50,1929
1,64,1972
1,55,1939
1,79,1918
1,137,1918
1,145,1929
1,56,1957.5
1,102,1918
1,34,1971
1,30,1918
1,64,1972
1,59,1973
1,77,1957
1,55,1957.5
1,44,1984
1,49,1918
1,48,1955
1,56,1969
1,155,1918
1,118,1918
1,71,1956
1,160,1918
1,36,1959
1,93,1918
1,63,1991
1,89,1960
1,67,1918
1,59,1924
1,63,1957.5
1,77,1972
1,88,1964
1,70,1957.5
1,57,1939
1,49,1988
1,33,1939
1,88,1983
1,78,1955
1,76,1977
1,102,1970
1,74,1970
1,64,1958
1,55,1983
1,73,1969
1,65,1967
