rent_euro,None
120.6138,0
435.6718,0
354.6832,0
282.0797,0
804.8245,0
481.3813,0
322.7274,0
369.8686,0
372.5784,0
520.1372,0
642.2849,0
698.3736,0
778.7997,0
411.0787,0
329.3231,0
245.1645,0
555.3652,0
423.7076,0
329.2209,0
291.4364,0
332.5443,0
321.2958,0
184.9343,0
470.6442,0
683.495,0
507.6106,0
686.9207,0
204.7213,0
367.67,0
634.5132,0
237.1883,0
411.999,0
843.5805,0
374.5724,0
328.9141,0
302.8893,0
922.524,0
481.5858,0
1146.725,0
529.8006,0
662.0719,0
311.6835,0
376.4642,0
519.9838,0
470.4396,0
344.8664,0
114.1203,0
325.3862,0
389.3488,0
541.1002,0
335.9699,0
484.6024,0
431.9905,0
711.4116,0
535.7316,0
395.7399,0
527.1931,0
477.3932,0
470.3885,0
340.776,0
371.9137,0
403.5116,0
528.6247,0
332.7999,0
368.2324,0
702.0037,0
220.3668,0
703.282,0
382.8553,0
805.8983,0
425.7527,0
897.0105,0
460.8785,0
646.4775,0
238.5688,0
408.8801,0
599.7454,0
386.1276,0
340.9294,0
471.769,0
315.7227,0
476.524,0
604.2959,0
563.3414,0
290.5161,0
574.2319,0
362.7616,0
302.0201,0
464.7643,0
434.1379,0
211.6237,0
418.3901,0
564.7219,0
374.4702,0
275.8931,0
1032.349,0
827.6793,0
338.4241,0
746.4861,0
422.8895,0
599.4897,0
454.8452,0
505.0541,0
502.0375,0
242.6591,0
247.0051,0
459.7537,0
337.1459,0
413.3284,0
351.5132,0
496.1577,0
417.3676,0
358.7224,0
283.767,0
269.502,0
338.0662,0
429.6385,0
291.9477,0
644.1766,0
582.2592,0
386.7412,0
238.262,0
476.6263,0
621.5775,0
315.416,0
665.3442,0
398.9611,0
499.481,0
419.3105,0
533.5331,0
398.0919,0
385.2584,0
511.752,0
791.8889,0
317.5634,0
277.4781,0
383.7757,0
622.0377,0
408.5733,0
508.8888,0
518.859,0
599.3875,0
601.0747,0
595.4505,0
449.8346,0
902.0211,0
868.4293,0
528.778,0
733.9595,0
835.9622,0
509.9625,0
364.8579,0
496.0042,0
536.7031,0
381.935,0
345.7356,0
312.3994,0
687.841,0
416.6006,0
558.842,0
336.7368,0
561.8076,0
523.6651,0
207.4822,0
515.4845,0
423.2986,0
911.3267,0
532.6127,0
489.2041,0
414.5043,0
593.2008,0
382.0884,0
419.924,0
1006.018,0
580.8787,0
708.037,0
790.764,0
845.0121,0
382.0884,0
384.5938,0
327.7381,0
389.86,0
702.0037,0
616.6691,0
344.304,0
255.2369,0
549.2809,0
217.4013,0
650.6189,0
276.8646,0
481.0234,0
132.2201,0
625.1055,0
473.5074,0
306.0082,0
479.6429,0
306.724,0
1146.112,0
508.8888,0
245.1645,0
479.0294,0
253.6008,0
389.6044,0
248.9991,0
360.9721,0
488.5394,0
76.84717,0
332.1863,0
381.117,0
415.7826,0
506.4346,0
296.3448,0
542.1228,0
476.1661,0
640.0863,0
459.1401,0
513.8483,0
588.8549,0
417.2653,0
297.6741,0
148.0701,0
542.5318,0
433.8311,0
482.3016,0
394.4106,0
428.2581,0
263.8266,0
406.835,0
180.1793,0
375.8506,0
521.0064,0
640.1885,0
343.128,0
470.3885,0
528.6247,0
631.8033,0
478.0579,0
491.9651,0
232.5867,0
144.1332,0
624.6965,0
618.8166,0
367.3632,0
462.1567,0
591.5136,0
353.4561,0
421.6624,0
377.4868,0
546.8778,0
790.0994,0
520.3929,0
751.0367,0
594.5814,0
408.7267,0
624.1852,0
605.165,0
494.4704,0
370.8911,0
306.3149,0
347.1161,0
247.6187,0
281.7729,0
397.734,0
452.4933,0
335.9188,0
238.1086,0
352.6891,0
370.1242,0
364.0398,0
252.0669,0
472.4848,0
250.8398,0
391.3939,0
888.3185,0
200.9377,0
440.3757,0
284.8407,0
538.9017,0
355.5524,0
291.3853,0
296.0891,0
710.3378,0
830.8493,0
273.7457,0
698.7314,0
624.2363,0
403.2559,0
538.7994,0
436.8478,0
438.5862,0
172.6121,0
444.9773,0
731.7098,0
327.8404,0
453.0046,0
611.6585,0
569.937,0
732.3234,0
389.9112,0
505.2586,0
405.8124,0
283.4602,0
596.1663,0
293.6349,0
252.6293,0
355.7569,0
490.2778,0
370.5332,0
332.4931,0
617.6917,0
418.4924,0
592.1782,0
376.9244,0
338.4752,0
355.1945,0
381.117,0
213.6689,0
552.0418,0
652.9708,0
376.4131,0
463.2816,0
501.4751,0
499.6344,0
663.8103,0
383.7757,0
222.2586,0
511.6498,0
590.6443,0
550.8148,0
378.6628,0
463.0771,0
483.5287,0
512.4678,0
496.7201,0
302.4803,0
849.3069,0
484.4491,0
508.4798,0
284.6873,0
343.5881,0
587.5255,0
793.2183,0
463.7928,0
384.0825,0
506.3835,0
299.2591,0
387.0991,0
373.7032,0
425.2415,0
500.4525,0
501.7307,0
555.1608,0
822.0039,0
551.8885,0
549.8944,0
872.6218,0
355.1945,0
406.2214,0
279.4721,0
237.5973,0
598.1604,0
234.9897,0
258.1513,0
659.3109,0
506.2812,0
974.2667,0
1330.995,0
572.3401,0
926.5631,0
1165.49,0
730.1248,0
289.3912,0
432.7063,0
688.3011,0
531.0277,0
503.5202,0
424.27,0
523.1027,0
297.3162,0
409.2892,0
417.3676,0
341.0317,0
163.6645,0
364.8579,0
383.3666,0
265.0537,0
458.0664,0
490.8913,0
302.0201,0
370.8911,0
673.6271,0
168.4707,0
465.2756,0
274.7683,0
450.6527,0
178.2875,0
375.8506,0
354.632,0
336.9925,0
197.1542,0
497.487,0
239.847,0
525.4035,0
167.7549,0
367.4655,0
344.3551,0
186.1614,0
796.695,0
372.7318,0
130.4306,0
406.7327,0
445.2841,0
535.5271,0
569.4257,0
354.6832,0
696.2773,0
303.0938,0
218.066,0
626.2814,0
255.9016,0
413.6862,0
221.9007,0
525.6592,0
396.2001,0
508.7354,0
192.757,0
241.1253,0
882.183,0
653.4821,0
505.6165,0
464.8154,0
319.8131,0
260.8611,0
431.2236,0
366.5452,0
641.4156,0
477.2399,0
429.3318,0
203.034,0
538.6971,0
410.1584,0
1368.422,0
413.7885,0
361.3811,0
982.9586,0
348.4965,0
424.3211,0
582.566,0
575.1011,0
273.8991,0
709.1107,0
664.6794,0
622.3956,0
751.4457,0
187.9509,0
339.0888,0
865.7706,0
306.7751,0
473.763,0
621.2708,0
521.4666,0
589.6218,0
403.0514,0
438.4328,0
610.9427,0
415.7826,0
642.8473,0
772.2042,0
416.4472,0
467.6787,0
1256.755,0
370.7889,0
405.8635,0
355.1945,0
172.4587,0
483.8867,0
632.5703,0
528.2667,0
657.9815,0
312.3994,0
212.6974,0
152.0071,0
648.7272,0
426.7753,0
376.6176,0
416.1916,0
908.8213,0
288.8288,0
307.7466,0
879.3709,0
480.9723,0
393.2857,0
272.6208,0
253.703,0
243.1704,0
184.2696,0
668.872,0
684.7733,0
614.0104,0
478.6203,0
911.8891,0
581.4411,0
321.4492,0
505.8722,0
588.6504,0
703.691,0
454.1295,0
236.4725,0
379.532,0
389.2465,0
344.3551,0
1080.564,0
493.6012,0
1072.435,0
434.7515,0
